,song_name,song_name_10,kpop_artist_name,all_artists,song_id,song_api_info,artist_id,all_artists_id,all_artists_list,all_artists_id_list,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,artist_8,artist_id_8,artist_9,artist_id_9,artist_10,artist_id_10,artist_11,artist_id_11,artist_12,artist_id_12,artist_13,artist_id_13
1,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Angel Pt. ,BTS,"Jimin, JVKE, Kodak Black, NLE Choppa, Muni Long",5qyjy0xfsHNzWxvXkHVB85,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1oSPZhvZMIrWW5I41kPkkY'}, 'href': 'https://api.spotify.com/v1/artists/1oSPZhvZMIrWW5I41kPkkY', 'id': '1oSPZhvZMIrWW5I41kPkkY', 'name': 'Jimin', 'type': 'artist', 'uri': 'spotify:artist:1oSPZhvZMIrWW5I41kPkkY'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK'}, 'href': 'https://api.spotify.com/v1/artists/164Uj4eKjl6zTBKfJLFKKK', 'id': '164Uj4eKjl6zTBKfJLFKKK', 'name': 'JVKE', 'type': 'artist', 'uri': 'spotify:artist:164Uj4eKjl6zTBKfJLFKKK'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7'}, 'href': 'https://api.spotify.com/v1/artists/46SHBwWsqBkxI7EeeBEQG7', 'id': '46SHBwWsqBkxI7EeeBEQG7', 'name': 'Kodak Black', 'type': 'artist', 'uri': 'spotify:artist:46SHBwWsqBkxI7EeeBEQG7'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ'}, 'href': 'https://api.spotify.com/v1/artists/0ErzCpIMyLcjPiwT4elrtZ', 'id': '0ErzCpIMyLcjPiwT4elrtZ', 'name': 'NLE Choppa', 'type': 'artist', 'uri': 'spotify:artist:0ErzCpIMyLcjPiwT4elrtZ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7tjVFCxJdwT4NdrTmjyjQ6'}, 'href': 'https://api.spotify.com/v1/artists/7tjVFCxJdwT4NdrTmjyjQ6', 'id': '7tjVFCxJdwT4NdrTmjyjQ6', 'name': 'Muni Long', 'type': 'artist', 'uri': 'spotify:artist:7tjVFCxJdwT4NdrTmjyjQ6'}]",3Nrfpe0tUJi4K4DXYWgMUX,"1oSPZhvZMIrWW5I41kPkkY, 164Uj4eKjl6zTBKfJLFKKK, 46SHBwWsqBkxI7EeeBEQG7, 0ErzCpIMyLcjPiwT4elrtZ, 7tjVFCxJdwT4NdrTmjyjQ6","['Jimin', ' JVKE', ' Kodak Black', ' NLE Choppa', ' Muni Long']","['1oSPZhvZMIrWW5I41kPkkY', ' 164Uj4eKjl6zTBKfJLFKKK', ' 46SHBwWsqBkxI7EeeBEQG7', ' 0ErzCpIMyLcjPiwT4elrtZ', ' 7tjVFCxJdwT4NdrTmjyjQ6']",Jimin,1oSPZhvZMIrWW5I41kPkkY, JVKE, 164Uj4eKjl6zTBKfJLFKKK, Kodak Black, 46SHBwWsqBkxI7EeeBEQG7, NLE Choppa, 0ErzCpIMyLcjPiwT4elrtZ, Muni Long, 7tjVFCxJdwT4NdrTmjyjQ6,,,,,,,,,,,,,,,,
2,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [,BTS,"Jung Kook, BTS, FIFA Sound",1RDvyOk4WtPCtoqciJwVn8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc'}, 'href': 'https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc', 'id': '6HaGTQPmzraVmaVxvz6EUc', 'name': 'Jung Kook', 'type': 'artist', 'uri': 'spotify:artist:6HaGTQPmzraVmaVxvz6EUc'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5C01hDqpEmrmDfUhX9YWsH'}, 'href': 'https://api.spotify.com/v1/artists/5C01hDqpEmrmDfUhX9YWsH', 'id': '5C01hDqpEmrmDfUhX9YWsH', 'name': 'FIFA Sound', 'type': 'artist', 'uri': 'spotify:artist:5C01hDqpEmrmDfUhX9YWsH'}]",3Nrfpe0tUJi4K4DXYWgMUX,"6HaGTQPmzraVmaVxvz6EUc, 3Nrfpe0tUJi4K4DXYWgMUX, 5C01hDqpEmrmDfUhX9YWsH","['Jung Kook', ' BTS', ' FIFA Sound']","['6HaGTQPmzraVmaVxvz6EUc', ' 3Nrfpe0tUJi4K4DXYWgMUX', ' 5C01hDqpEmrmDfUhX9YWsH']",Jung Kook,6HaGTQPmzraVmaVxvz6EUc, BTS, 3Nrfpe0tUJi4K4DXYWgMUX, FIFA Sound, 5C01hDqpEmrmDfUhX9YWsH,,,,,,,,,,,,,,,,,,,,
4,Bad Decisions (with BTS & Snoop Dogg),Bad Decisi,BTS,"benny blanco, BTS, Snoop Dogg",0xzI1KAr0Yd9tv8jlIk3sn,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa'}, 'href': 'https://api.spotify.com/v1/artists/5CiGnKThu5ctn9pBxv7DGa', 'id': '5CiGnKThu5ctn9pBxv7DGa', 'name': 'benny blanco', 'type': 'artist', 'uri': 'spotify:artist:5CiGnKThu5ctn9pBxv7DGa'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG'}, 'href': 'https://api.spotify.com/v1/artists/7hJcb9fa4alzcOq3EaNPoG', 'id': '7hJcb9fa4alzcOq3EaNPoG', 'name': 'Snoop Dogg', 'type': 'artist', 'uri': 'spotify:artist:7hJcb9fa4alzcOq3EaNPoG'}]",3Nrfpe0tUJi4K4DXYWgMUX,"5CiGnKThu5ctn9pBxv7DGa, 3Nrfpe0tUJi4K4DXYWgMUX, 7hJcb9fa4alzcOq3EaNPoG","['benny blanco', ' BTS', ' Snoop Dogg']","['5CiGnKThu5ctn9pBxv7DGa', ' 3Nrfpe0tUJi4K4DXYWgMUX', ' 7hJcb9fa4alzcOq3EaNPoG']",benny blanco,5CiGnKThu5ctn9pBxv7DGa, BTS, 3Nrfpe0tUJi4K4DXYWgMUX, Snoop Dogg, 7hJcb9fa4alzcOq3EaNPoG,,,,,,,,,,,,,,,,,,,,
7,Left and Right (Feat. Jung Kook of BTS),Left and R,BTS,"Charlie Puth, Jung Kook, BTS",0mBP9X2gPCuapvpZ7TGDk3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7'}, 'href': 'https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7', 'id': '6VuMaDnrHyPL1p4EHjYLi7', 'name': 'Charlie Puth', 'type': 'artist', 'uri': 'spotify:artist:6VuMaDnrHyPL1p4EHjYLi7'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc'}, 'href': 'https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc', 'id': '6HaGTQPmzraVmaVxvz6EUc', 'name': 'Jung Kook', 'type': 'artist', 'uri': 'spotify:artist:6HaGTQPmzraVmaVxvz6EUc'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}]",3Nrfpe0tUJi4K4DXYWgMUX,"6VuMaDnrHyPL1p4EHjYLi7, 6HaGTQPmzraVmaVxvz6EUc, 3Nrfpe0tUJi4K4DXYWgMUX","['Charlie Puth', ' Jung Kook', ' BTS']","['6VuMaDnrHyPL1p4EHjYLi7', ' 6HaGTQPmzraVmaVxvz6EUc', ' 3Nrfpe0tUJi4K4DXYWgMUX']",Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7, Jung Kook, 6HaGTQPmzraVmaVxvz6EUc, BTS, 3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,
10,My Universe - David Guetta Remix,My Univers,BTS,"Coldplay, BTS, David Guetta",5FvxRvrQ8qzKjBJ6ST9aiu,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}]",3Nrfpe0tUJi4K4DXYWgMUX,"4gzpq5DPGxSnKTe4SA8HAU, 3Nrfpe0tUJi4K4DXYWgMUX, 1Cs0zKBU1kc0i8ypK3B9ai","['Coldplay', ' BTS', ' David Guetta']","['4gzpq5DPGxSnKTe4SA8HAU', ' 3Nrfpe0tUJi4K4DXYWgMUX', ' 1Cs0zKBU1kc0i8ypK3B9ai']",Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS, 3Nrfpe0tUJi4K4DXYWgMUX, David Guetta, 1Cs0zKBU1kc0i8ypK3B9ai,,,,,,,,,,,,,,,,,,,,
11,My Universe - Galantis Remix,My Univers,BTS,"Coldplay, BTS, Galantis",1DlczmjByrS4qxRVfGjpqN,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4sTQVOfp9vEMCemLw50sbu'}, 'href': 'https://api.spotify.com/v1/artists/4sTQVOfp9vEMCemLw50sbu', 'id': '4sTQVOfp9vEMCemLw50sbu', 'name': 'Galantis', 'type': 'artist', 'uri': 'spotify:artist:4sTQVOfp9vEMCemLw50sbu'}]",3Nrfpe0tUJi4K4DXYWgMUX,"4gzpq5DPGxSnKTe4SA8HAU, 3Nrfpe0tUJi4K4DXYWgMUX, 4sTQVOfp9vEMCemLw50sbu","['Coldplay', ' BTS', ' Galantis']","['4gzpq5DPGxSnKTe4SA8HAU', ' 3Nrfpe0tUJi4K4DXYWgMUX', ' 4sTQVOfp9vEMCemLw50sbu']",Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS, 3Nrfpe0tUJi4K4DXYWgMUX, Galantis, 4sTQVOfp9vEMCemLw50sbu,,,,,,,,,,,,,,,,,,,,
13,My Universe - Supernova 7 Mix,My Univers,BTS,"Coldplay, BTS",6Lgbf4b6c9fwz24eFEWONX,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}]",3Nrfpe0tUJi4K4DXYWgMUX,"4gzpq5DPGxSnKTe4SA8HAU, 3Nrfpe0tUJi4K4DXYWgMUX","['Coldplay', ' BTS']","['4gzpq5DPGxSnKTe4SA8HAU', ' 3Nrfpe0tUJi4K4DXYWgMUX']",Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS, 3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,,,
15,My Universe - SUGA's Remix,My Univers,BTS,"Coldplay, BTS, SUGA",6BeOJPXMstvXolxKbL09kR,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'name': 'Coldplay', 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0ebNdVaOfp6N0oZ1guIxM8'}, 'href': 'https://api.spotify.com/v1/artists/0ebNdVaOfp6N0oZ1guIxM8', 'id': '0ebNdVaOfp6N0oZ1guIxM8', 'name': 'SUGA', 'type': 'artist', 'uri': 'spotify:artist:0ebNdVaOfp6N0oZ1guIxM8'}]",3Nrfpe0tUJi4K4DXYWgMUX,"4gzpq5DPGxSnKTe4SA8HAU, 3Nrfpe0tUJi4K4DXYWgMUX, 0ebNdVaOfp6N0oZ1guIxM8","['Coldplay', ' BTS', ' SUGA']","['4gzpq5DPGxSnKTe4SA8HAU', ' 3Nrfpe0tUJi4K4DXYWgMUX', ' 0ebNdVaOfp6N0oZ1guIxM8']",Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS, 3Nrfpe0tUJi4K4DXYWgMUX, SUGA, 0ebNdVaOfp6N0oZ1guIxM8,,,,,,,,,,,,,,,,,,,,
18,Butter - Megan Thee Stallion Remix,Butter - M,BTS,"BTS, Megan Thee Stallion",474VqnPDr0251lsQBB8sQB,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK'}, 'href': 'https://api.spotify.com/v1/artists/181bsRPaVXVlUKXrxwZfHK', 'id': '181bsRPaVXVlUKXrxwZfHK', 'name': 'Megan Thee Stallion', 'type': 'artist', 'uri': 'spotify:artist:181bsRPaVXVlUKXrxwZfHK'}]",3Nrfpe0tUJi4K4DXYWgMUX,"3Nrfpe0tUJi4K4DXYWgMUX, 181bsRPaVXVlUKXrxwZfHK",[' Megan Thee Stallion'],[' 181bsRPaVXVlUKXrxwZfHK'], Megan Thee Stallion, 181bsRPaVXVlUKXrxwZfHK,,,,,,,,,,,,,,,,,,,,,,,,
33,Savage Love (Laxed – Siren Beat) [BTS Remix],Savage Lov,BTS,"Jawsh 685, Jason Derulo, BTS",4TgxFMOn5yoESW6zCidCXL,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/56mfhUDKa1vec6rSLZV5Eg'}, 'href': 'https://api.spotify.com/v1/artists/56mfhUDKa1vec6rSLZV5Eg', 'id': '56mfhUDKa1vec6rSLZV5Eg', 'name': 'Jawsh 685', 'type': 'artist', 'uri': 'spotify:artist:56mfhUDKa1vec6rSLZV5Eg'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y'}, 'href': 'https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y', 'id': '07YZf4WDAMNwqr4jfgOZ8y', 'name': 'Jason Derulo', 'type': 'artist', 'uri': 'spotify:artist:07YZf4WDAMNwqr4jfgOZ8y'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX'}, 'href': 'https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX', 'id': '3Nrfpe0tUJi4K4DXYWgMUX', 'name': 'BTS', 'type': 'artist', 'uri': 'spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX'}]",3Nrfpe0tUJi4K4DXYWgMUX,"56mfhUDKa1vec6rSLZV5Eg, 07YZf4WDAMNwqr4jfgOZ8y, 3Nrfpe0tUJi4K4DXYWgMUX","['Jawsh 685', ' Jason Derulo', ' BTS']","['56mfhUDKa1vec6rSLZV5Eg', ' 07YZf4WDAMNwqr4jfgOZ8y', ' 3Nrfpe0tUJi4K4DXYWgMUX']",Jawsh 685,56mfhUDKa1vec6rSLZV5Eg, Jason Derulo, 07YZf4WDAMNwqr4jfgOZ8y, BTS, 3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,
