name,id,top_kpop,genre,followers
 Relax Beer,04BxwccHO4U2wMwVLvYTLO,0,[],2
 KAHI,04C0MPapc1HXpTbspJhmWg,0,[],0
 LE,04JxNGSux7QdmrCvnQowyr,0,[],42
Sunwoojunga,04L3elxyr0XFua2Ek3domW,0,"['k-indie', 'korean pop']",94884
 Miso,04xEkodoWyFji8icX911jM,0,"['korean electropop', 'korean r&b']",79729
 Symba,06S3fr7xEES7e3QPXhu3ay,0,[],66557
 Tommy “TBHits” Brown,06moEoVtCKweJmGYid8vU7,0,[],5
m-flo loves Sik-K & eill & 向井太一,072YnMT5EniZhvDssXL2VB,0,[],864
 Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,0,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",21528453
 Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,0,"['dance pop', 'pop']",11822509
 Uneducated Kid,08KbKkPqaYNFYM9R5eMjuM,0,['k-rap'],31588
 DJ Light,08Wl6RGRGdv6gj5Xwq0N2b,0,[],122
 Spray,08yoNApAYvtzOK5P3qZKw8,0,['korean underground rap'],3475
 JUPITER,09KeT4dkVIveN5OpVOCPeU,0,[],257
Yang Hee Eun,0BD74hBusWzcPz44wFskYb,0,"['classic korean pop', 'korean singer-songwriter']",10962
 태양,0BeIulKOpcvsabwlt4u8qp,0,[],8010
 Whee In,0BqRGrwqndrtNkojXiqIzL,0,"['k-pop', 'korean ost']",845224
 Guaynaa,0BqURncJM5B1BBu7UM51eq,0,"['reggaeton', 'reggaeton flow', 'urbano latino']",798926
 Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,0,"['pop', 'post-teen pop']",42246229
 JUSTHIS,0Ch0t9gI47Lkal71uQnmV3,0,['k-rap'],121300
THE BOYZ,0CmvFWTX9zmMNCUi6fHtAx,1,"['k-pop', 'k-pop boy group']",2479199
 Song Ji Eun,0D40an6y5Cv6sRzMGsRRQ8,0,"['k-pop', 'korean pop']",104467
 Lena,0EmA3wlv6dnf3Pc9SINsvA,0,[],4978
 NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,0,"['memphis hip hop', 'rap']",6153597
WENDY,0FRUZvZNPzM3YJMABJxf2K,0,"['k-pop', 'korean pop']",827651
 HUR YOUNG JI,0FUmt6iMoB9sJpxZuWkOI5,0,[],987
 이준기,0Fi1eTFqrg9XXYFPWwx2aw,0,[],264
 JERIDE,0GGPhh2cCGEIQAQbQXBd0c,0,[],197
Sarah Barrios,0HJsX1aTdgG1VDIRDiseSJ,0,['alt z'],30547
 Bray Of Skooby Doo,0HsHzgPuTPNiTVMfCz23kw,0,[],4
 Coogie,0IznZPMUyaPGdqfP4oqBja,0,['k-rap'],168400
 Leessang,0JGN9XIqm3vfg7hhPHjExI,0,['korean pop'],60715
 GASHI,0JOxt5QOwq0czoJxvSc5hS,0,[],235666
 IN SEONG,0JxQHl0AkdY6GI3C5gtFeo,0,[],1174
 SUMIN,0K4MGKGmjtdIE0W3GkGmyU,0,"['korean city pop', 'korean electropop', 'korean r&b']",56190
vaultboy,0K87f3owemzI8NUCoEIXOB,0,[],164486
 20 Years of Age,0KaZcu3pEVHfYOnB62eLFp,0,"['k-indie', 'korean pop']",30121
 Tacyeon,0Ko62GQsAMXCNCKNUTmfWz,0,[],13
 Ye Ali,0Maq4Nk8ZM6keGZjTCXGIH,0,"['indiana hip hop', 'trap soul']",45979
 ROCOBERRY,0Mt9IxntWHsf793bLZhQ9P,0,"['k-indie', 'k-pop', 'korean pop']",55935
 Alok,0NGAZxHanS9e0iNHpR8f2W,0,"['electro house', 'pop nacional', 'sertanejo universitario', 'slap house']",12128452
Jang Won Ki,0O8LdVYrZzNAClMUdQhyGA,0,[],15
Crayon Pop,0ODX6aegsZkBmBeMA5qqwi,1,"['k-pop', 'k-pop girl group']",155750
 CIFIKA,0OK6Xs5X1kHs07y68n65CQ,0,"['k-indie', 'korean electropop']",26206
 IDIOTAPE,0OmQCkk1rR3DJ0Y2NRxp6Z,0,"['k-indie', 'k-rock', 'korean electronic', 'korean electropop']",8246
 ARMNHMR,0P2bZXPyjHYRW4guHVAFl1,0,"['melodic dubstep', 'pop edm']",96964
 SUPERBEE,0Q5XzDpn7DCI5jlubok4xb,0,['k-rap'],84986
 Ugly Duck,0Qr4St9aCOLu41Nt5QZIz1,0,['k-rap'],9671
 Lim Hyunsik,0SA2I3s4t7hmv1XVvky9Po,0,['korean singer-songwriter'],45679
Girls' Generation,0Sadg1vgvaPqGTOjxu0N6c,1,"['k-pop', 'k-pop girl group']",2406447
 MC 몽,0St0PvgohErtWfC6qnJHpN,0,[],0
 ＦＰＭ,0TGGLJ8adXSsX0v9bNCEAa,0,[],10
 Na Yun Gwon,0UCjY4RwfRkBzabQbwykhT,0,[],56
CHEN,0UEP2XBR9aC5NBKcAKnBIq,1,['k-pop'],1545156
 B.I,0UntV1Bw2hk3fbRrm9eMP6,0,['k-pop'],646199
 Slom,0UswO8FFKS2tv6dzyNyJLD,0,[],21077
 Mellow,0UxCpjmjcmJUWcRGmd8BZk,0,[],126
HONNE,0Vw76uk7P8yVtTClWyOhac,0,['uk pop'],1507637
 J'Kyun,0WIKW2eVuPbK5vQ0AIDtMQ,0,"['k-rap', 'korean underground rap']",9566
 Superorganism,0Wkm45quqfx3NepJpXDvwE,0,['art pop'],234200
 taalthechoi,0Wz3NC2nQgeV1titlYTj4C,0,[],84
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,0,"['indietronica', 'metropopolis', 'pop', 'uk pop']",11942874
MAMAMOO,0XATRDCYuuGhk0oE7C0o5G,1,"['k-pop', 'k-pop girl group']",6722664
 조PD,0XJH7kCmbiKeYfAFSHpYuN,0,[],24
 kamome sano,0XraR5DqW6Vpp86omsB88K,0,['kawaii future bass'],14009
 Lee Young Ji,0Y2AcMPMpeuPXtPQGVvRBq,0,['korean trap'],154588
ABLE,0Y669kGV5Gru5RaumXTxtV,0,[],17699
 Mako,0Ye4nfYAA91T1X56gnlXAA,0,['pop edm'],113249
 인크레더블,0YhDHW8UkDzlw6ZNJtZZXk,0,[],130
 XIA,0ZHbYuRbvC4tWW0iOdybwi,0,['korean pop'],83185
 Nuol,0ZYQRDQ7V5rIbzg565VHAh,0,['k-rap'],3235
 DALsooobin,0ZjVwJw2cFymrcIwmGuVEl,0,['korean electropop'],14368
j-hope,0b1sIQumIAsNbqAoIClSpy,1,"['k-pop', 'k-rap']",14644327
End of the World,0b59cVa1STVENq3i7wkcHV,0,[],52195
 347aidan,0bBz5bRBkExaej2HxtVfCw,0,['sad rap'],421360
 DJ Juice,0bJKaJ5AdUz5nDFDRGfKPJ,0,[],891
YOON DU JUN,0bjyZMw6TzPhXSp2PoKXx7,0,[],9922
 초신성,0buWcDodnGf3u36oAQPHzW,0,[],161
 MBA,0c6EF9zv5mQX7pkyrPawKS,0,"['k-rap', 'korean trap']",6799
 Tommy Brown,0ctSbHMEV1hrOkGvEnciDr,0,[],214
 Mad Clown,0dX6tgZKWpamoFHFuXFhwd,0,"['k-pop', 'k-rap', 'korean pop']",119695
