song_name,kpop_artist_name,song_id,artist_id,artist_1,artist_id_1,artist_2,artist_id_2,artist_3,artist_id_3,artist_4,artist_id_4,artist_5,artist_id_5,artist_6,artist_id_6,artist_7,artist_id_7,artist_8,artist_id_8,artist_9,artist_id_9,artist_10,artist_id_10,artist_11,artist_id_11,artist_12,artist_id_12,artist_13,artist_id_13
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",BTS,5qyjy0xfsHNzWxvXkHVB85,3Nrfpe0tUJi4K4DXYWgMUX,Jimin,1oSPZhvZMIrWW5I41kPkkY, JVKE,164Uj4eKjl6zTBKfJLFKKK, Kodak Black,46SHBwWsqBkxI7EeeBEQG7, NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ, Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,,,,,,,,,,,,,,,,
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],BTS,1RDvyOk4WtPCtoqciJwVn8,3Nrfpe0tUJi4K4DXYWgMUX,Jung Kook,6HaGTQPmzraVmaVxvz6EUc, BTS,3Nrfpe0tUJi4K4DXYWgMUX, FIFA Sound,5C01hDqpEmrmDfUhX9YWsH,,,,,,,,,,,,,,,,,,,,
Bad Decisions (with BTS & Snoop Dogg),BTS,0xzI1KAr0Yd9tv8jlIk3sn,3Nrfpe0tUJi4K4DXYWgMUX,benny blanco,5CiGnKThu5ctn9pBxv7DGa, BTS,3Nrfpe0tUJi4K4DXYWgMUX, Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,,,,,,,,,,,,,,,,,,,,
Left and Right (Feat. Jung Kook of BTS),BTS,0mBP9X2gPCuapvpZ7TGDk3,3Nrfpe0tUJi4K4DXYWgMUX,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7, Jung Kook,6HaGTQPmzraVmaVxvz6EUc, BTS,3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,
My Universe - David Guetta Remix,BTS,5FvxRvrQ8qzKjBJ6ST9aiu,3Nrfpe0tUJi4K4DXYWgMUX,Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS,3Nrfpe0tUJi4K4DXYWgMUX, David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,,,,,,,,,,,,,,,,,,,,
My Universe - Galantis Remix,BTS,1DlczmjByrS4qxRVfGjpqN,3Nrfpe0tUJi4K4DXYWgMUX,Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS,3Nrfpe0tUJi4K4DXYWgMUX, Galantis,4sTQVOfp9vEMCemLw50sbu,,,,,,,,,,,,,,,,,,,,
My Universe - Supernova 7 Mix,BTS,6Lgbf4b6c9fwz24eFEWONX,3Nrfpe0tUJi4K4DXYWgMUX,Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS,3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,,,
My Universe - SUGA's Remix,BTS,6BeOJPXMstvXolxKbL09kR,3Nrfpe0tUJi4K4DXYWgMUX,Coldplay,4gzpq5DPGxSnKTe4SA8HAU, BTS,3Nrfpe0tUJi4K4DXYWgMUX, SUGA,0ebNdVaOfp6N0oZ1guIxM8,,,,,,,,,,,,,,,,,,,,
Butter - Megan Thee Stallion Remix,BTS,474VqnPDr0251lsQBB8sQB,3Nrfpe0tUJi4K4DXYWgMUX, Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,,,,,,,,,,,,,,,,,,,,,,,,
Savage Love (Laxed – Siren Beat) [BTS Remix],BTS,4TgxFMOn5yoESW6zCidCXL,3Nrfpe0tUJi4K4DXYWgMUX,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg, Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y, BTS,3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,
SUGA's Interlude,BTS,5a0nHa7F4S9hb0Zi0zLS8w,3Nrfpe0tUJi4K4DXYWgMUX,Halsey,26VFTg2z8YR0cCuwLzESi2, SUGA,0ebNdVaOfp6N0oZ1guIxM8, BTS,3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,,,,,,,,,
