node,node_attribute,node_attribute_subtype,color
Bison and Bee Honey,producer,specialty products,#714466
Clark Fork Organics,producer,general produce,#714466
County Rail Farm,producer,general produce,#714466
Deluge Farm,producer,general produce,#714466
Dixon Melons,producer,general produce,#714466
Dude's Organic Farm,producer,general produce,#714466
Elk Creek Colony,producer,general produce,#714466
Five Fox Farm,producer,general produce,#714466
Flathead Lake Cheese Co.,producer,specialty products,#714466
Foothill Farm,producer,general produce,#714466
Forbidden Fruit Orchard,producer,orchards,#714466
Fourth Wave Farm,producer,general produce,#714466
Fresh Roots Farm,producer,general produce,#714466
Ginger Roots Farm,producer,general produce,#714466
Glacier Tilth Farm,producer,general produce,#714466
Good Steward Farm,producer,general produce,#714466
Green Blade Farm,producer,general produce,#714466
Harlequin Organic Produce,producer,general produce,#714466
Hilltop Haven,producer,general produce,#714466
Home Acres Orchard,producer,orchards,#714466
Lifeline Farm,producer,livestock,#714466
Lifeline Produce,producer,general produce,#714466
Lowdown Farm,producer,general produce,#714466
Mission Mountain Organic Eggs,producer,livestock,#714466
Moss Farm,producer,orchards,#714466
Mother Fungi,producer,specialty products,#714466
Mountain Spring Farm,producer,general produce,#714466
Paradise Gardens,producer,general produce,#714466
Ploughshare Farm,producer,general produce,#714466
Ramrock Orchard,producer,orchards,#714466
Sophie's Farm,producer,general produce,#714466
Spencer's Valley View Farm,producer,livestock,#714466
Sweet Root Farm,producer,general produce,#714466
The Orchard at Flathead Lake,producer,orchards,#714466
"Timeless Seeds, Inc.",producer,specialty products,#714466
Wild Plum Farm,producer,general produce,#714466
Wustner Brothers Honey,producer,specialty products,#714466
Albertsons,retailer,grocer,#ebb83b
Charlie's Produce,retailer,distributor,#006ca9
Clark Fork Market,retailer,farmers market,#ebb83b
Costco,retailer,grocer,#ebb83b
Good Food Store,retailer,grocer,#ebb83b
Mission Mountain Food Enterprise Center,retailer,food processor,#ebb83b
Missoula Farmers Market,retailer,farmers market,#ebb83b
Natural Grocer's,retailer,grocer,#ebb83b
Orange Street Food Farm,retailer,grocer,#ebb83b
Pattee Creek Market,retailer,grocer,#ebb83b
Roasauers,retailer,grocer,#ebb83b
Target,retailer,grocer,#ebb83b
Walmart Supercenter,retailer,grocer,#ebb83b
Western Montana Growers Cooperative,retailer,distributor,#006ca9
WinCo,retailer,grocer,#ebb83b
Yoke's Fresh Market,retailer,grocer,#ebb83b
